model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_90_act,5,0,open the bottom drawer of the cabinet,synonym,1.0,1.0,0.54666477172131,0.5343878700203676,,,0.0,-0.012276901700942422,,-0.012276901700942422,,-0.002553425972811163,,-0.02232980536053375,,-0.011947473769482242,,-0.009394047796671079,
DreamZero,libero_90_act,5,0,open the bottom drawer of the cabinet,shuffle,1.0,0.0,0.54666477172131,0.5570716235886234,,,-1.0,0.010406851867313383,,0.010406851867313383,,0.015599705102154915,,0.008230979045787512,,0.008782214330558147,,-0.006817490771596768,
DreamZero,libero_90_act,5,0,open the bottom drawer of the cabinet,opposite,1.0,0.0,0.54666477172131,0.5759872262518788,,,-1.0,0.02932245453056881,,0.02932245453056881,,0.04220613642004212,,0.029756463945856737,,0.015880757625818642,,-0.026325378794223475,
DreamZero,libero_90_act,5,1,open the bottom drawer of the cabinet,empty,1.0,0.0,0.5509153931793875,0.5745470223854826,,,-1.0,0.023631629206095073,,0.023631629206095073,,0.01805253781013616,,0.028071653933229745,,0.02476264530186556,,0.0067101074917294,
DreamZero,libero_90_act,5,1,open the bottom drawer of the cabinet,random,1.0,0.0,0.5509153931793875,0.5728190086328514,,,-1.0,0.021903615453463865,,0.021903615453463865,,0.01723273242092882,,0.021470264130323602,,0.0276808367913286,,0.01044810437039978,
DreamZero,libero_90_act,5,1,open the bottom drawer of the cabinet,synonym,1.0,1.0,0.5509153931793875,0.5298472182539087,,,0.0,-0.021068174925478855,,-0.021068174925478855,,-0.01592393629567479,,-0.02262303470390703,,-0.024657553776854635,,-0.008733617481179845,
DreamZero,libero_90_act,5,1,open the bottom drawer of the cabinet,shuffle,1.0,1.0,0.5509153931793875,0.5370846546735867,,,0.0,-0.013830738505800855,,-0.013830738505800855,,-0.02082599002962182,,-0.015900282491704942,,-0.003980615627733997,,0.016845374401887825,
DreamZero,libero_90_act,5,1,open the bottom drawer of the cabinet,opposite,1.0,1.0,0.5509153931793875,0.5532394914282422,,,0.0,0.0023240982488547113,,0.0023240982488547113,,-0.0006709974524043982,,0.0049508119567699405,,0.0032258182801151447,,0.003896815732519543,
DreamZero,libero_90_act,6,0,open the top drawer of the cabinet,empty,0.0,1.0,0.5593756718035364,0.5506441844647926,,,1.0,-0.008731487338743849,,-0.008731487338743849,,0.001744799877685832,,-0.0009795008557953455,,-0.028474151466749364,,-0.030218951344435196,
DreamZero,libero_90_act,6,0,open the top drawer of the cabinet,random,0.0,1.0,0.5593756718035364,0.5652327124968397,,,1.0,0.005857040693303284,,0.005857040693303284,,0.005967316769252107,,0.012822881893990168,,-0.0020040660755711315,,-0.007971382844823238,
DreamZero,libero_90_act,6,0,open the top drawer of the cabinet,synonym,0.0,0.0,0.5593756718035364,0.5491541942084066,,,0.0,-0.010221477595129813,,-0.010221477595129813,,-0.007745395583085513,,-0.0025316923999082475,,-0.021169334587569977,,-0.013423939004484464,
DreamZero,libero_90_act,6,0,open the top drawer of the cabinet,shuffle,0.0,0.0,0.5593756718035364,0.5724333601685273,,,0.0,0.013057688364990883,,0.013057688364990883,,0.02110362322201098,,0.00801964750315931,,0.009864552327889853,,-0.011239070894121128,
DreamZero,libero_90_act,6,0,open the top drawer of the cabinet,opposite,0.0,1.0,0.5593756718035364,0.5500985508190588,,,1.0,-0.009277120984477638,,-0.009277120984477638,,-0.003027364826181489,,-0.015182255106400366,,-0.010406732513089767,,-0.007379367686908278,
DreamZero,libero_90_act,6,1,open the top drawer of the cabinet,empty,1.0,0.0,0.5457178572154392,0.5669554404189832,,,-1.0,0.021237583203543964,,0.021237583203543964,,0.028396204149994442,,0.018462806424757616,,0.016853739035880055,,-0.011542465114114386,
DreamZero,libero_90_act,6,1,open the top drawer of the cabinet,random,1.0,0.0,0.5457178572154392,0.5736863483638266,,,-1.0,0.027968491148387398,,0.027968491148387398,,0.0242518942545068,,0.013694649247478763,,0.04595892994317663,,0.02170703568866983,
DreamZero,libero_90_act,6,1,open the top drawer of the cabinet,synonym,1.0,1.0,0.5457178572154392,0.5413243629172271,,,0.0,-0.0043934942982121195,,-0.0043934942982121195,,-0.004907023498989971,,-0.010442697637989662,,0.002950255853818251,,0.007857279352808222,
DreamZero,libero_90_act,6,1,open the top drawer of the cabinet,shuffle,1.0,0.0,0.5457178572154392,0.5619351417006817,,,-1.0,0.01621728448524251,,0.01621728448524251,,0.017061233119396224,,0.015294967518494462,,0.016461379306185298,,-0.0005998538132109266,
DreamZero,libero_90_act,6,1,open the top drawer of the cabinet,opposite,1.0,0.0,0.5457178572154392,0.5714022710284148,,,-1.0,0.025684413812975593,,0.025684413812975593,,0.025453444209698972,,0.009503574354320143,,0.042096222874907885,,0.016642778665208913,
DreamZero,libero_90_act,7,0,open the top drawer of the cabinet,empty,0.0,0.0,0.565057034118819,0.5767059020499004,,,0.0,0.01164886793108133,,0.01164886793108133,,0.03232154040793078,,0.009681315219513986,,-0.00965175932368123,,-0.04197329973161201,
DreamZero,libero_90_act,7,0,open the top drawer of the cabinet,random,0.0,1.0,0.565057034118819,0.5549919145769396,,,1.0,-0.010065119541879386,,-0.010065119541879386,,0.006308250323739606,,0.004228114067281852,,-0.04277839424986163,,-0.049086644573601235,
DreamZero,libero_90_act,7,0,open the top drawer of the cabinet,synonym,0.0,1.0,0.565057034118819,0.5355082558474792,,,1.0,-0.029548778271339837,,-0.029548778271339837,,-0.0035224102025047666,,-0.043836230613073845,,-0.04447128711377191,,-0.04094887691126714,
